DATE,GDP,Change ($B),% Change,% Change Annualised
1965-01-01,717.79,20.471000000000004,0.02935672195939021,0.11742688783756083
1965-04-01,730.191,12.401000000000067,0.017276640800234055,0.06910656320093622
1965-07-01,749.323,19.131999999999948,0.02620136375277138,0.10480545501108551
1965-10-01,771.857,22.533999999999992,0.03007247875749175,0.120289915029967
1966-01-01,795.7339999999999,23.876999999999953,0.03093448656940323,0.12373794627761292
1966-04-01,804.9810000000001,9.247000000000185,0.011620717475940623,0.04648286990376249
1966-07-01,819.638,14.656999999999925,0.018207883167428607,0.07283153266971443
1966-10-01,833.302,13.663999999999987,0.016670774171036573,0.06668309668414629
1967-01-01,844.17,10.867999999999938,0.013042090382598293,0.05216836153039317
1967-04-01,848.9830000000001,4.813000000000102,0.005701458237085122,0.022805832948340488
1967-07-01,865.2330000000001,16.25,0.01914054816174171,0.07656219264696684
1967-10-01,881.439,16.205999999999904,0.0187302148669779,0.0749208594679116
1968-01-01,909.387,27.94799999999998,0.031707242361638244,0.12682896944655297
1968-04-01,934.3439999999999,24.956999999999994,0.027443761566857683,0.10977504626743073
1968-07-01,950.825,16.48100000000011,0.01763911364550963,0.07055645458203852
1968-10-01,968.03,17.204999999999927,0.018094812399757965,0.07237924959903186
1969-01-01,993.337,25.307000000000016,0.026142784831048704,0.10457113932419482
1969-04-01,1009.02,15.682999999999993,0.015788196754978445,0.06315278701991378
1969-07-01,1029.9560000000001,20.93600000000015,0.020748845414362505,0.08299538165745002
1969-10-01,1038.147,8.190999999999804,0.00795276691431468,0.03181106765725872
1970-01-01,1051.2,13.053000000000111,0.012573363887773192,0.05029345555109277
1970-04-01,1067.375,16.174999999999955,0.015387176560121674,0.061548706240486695
1970-07-01,1086.059,18.68399999999997,0.017504625834406706,0.07001850333762683
1970-10-01,1088.608,2.548999999999978,0.0023470179796860613,0.009388071918744245
1971-01-01,1135.156,46.548,0.04275919339192802,0.17103677356771207
1971-04-01,1156.271,21.11500000000001,0.018600967620309383,0.07440387048123753
1971-07-01,1177.675,21.403999999999996,0.018511231363581793,0.07404492545432717
1971-10-01,1190.297,12.622000000000071,0.010717727726240245,0.04287091090496098
1972-01-01,1230.609,40.3119999999999,0.033867177687585404,0.13546871075034161
1972-04-01,1266.369,35.75999999999999,0.029058783090323503,0.11623513236129401
1972-07-01,1290.566,24.197000000000116,0.01910738497231068,0.07642953988924273
1972-10-01,1328.904,38.337999999999965,0.029706345897846376,0.1188253835913855
1973-01-01,1377.49,48.58600000000001,0.036560955494151504,0.14624382197660601
1973-04-01,1413.8870000000002,36.39700000000016,0.026422696353512576,0.1056907854140503
1973-07-01,1433.838,19.950999999999794,0.014110745766811483,0.05644298306724593
1973-10-01,1476.289,42.45100000000002,0.02960655248361399,0.11842620993445596
1974-01-01,1491.2089999999998,14.919999999999845,0.010106422252011527,0.040425689008046106
1974-04-01,1530.056,38.84700000000021,0.026050674318623512,0.10420269727449405
1974-07-01,1560.026,29.970000000000027,0.019587518365340895,0.07835007346136358
1974-10-01,1599.6789999999999,39.65299999999979,0.025418166107487927,0.10167266442995171
1975-01-01,1616.116,16.437000000000126,0.01027518645928338,0.04110074583713352
1975-04-01,1651.8529999999998,35.73699999999985,0.022112892886401614,0.08845157154560646
1975-07-01,1709.82,57.9670000000001,0.03509210565346921,0.14036842261387683
1975-10-01,1761.8310000000001,52.011000000000195,0.030418991472786816,0.12167596589114726
1976-01-01,1820.487,58.65599999999995,0.033292637034993744,0.13317054813997498
1976-04-01,1852.332,31.845000000000027,0.017492572042535848,0.06997028817014339
1976-07-01,1886.558,34.225999999999885,0.018477249218822545,0.07390899687529018
1976-10-01,1934.273,47.71499999999992,0.02529209279545075,0.101168371181803
1977-01-01,1988.648,54.375,0.028111336920900065,0.11244534768360026
1977-04-01,2055.909,67.2610000000002,0.03382247637590985,0.1352899055036394
1977-07-01,2118.473,62.56399999999985,0.030431308000499868,0.12172523200199947
1977-10-01,2164.27,45.797000000000025,0.02161792951810093,0.08647171807240372
1978-01-01,2202.76,38.49000000000024,0.01778428754268191,0.07113715017072764
1978-04-01,2331.633,128.8729999999996,0.05850523888212944,0.23402095552851776
1978-07-01,2395.053,63.42000000000007,0.02719982089805728,0.10879928359222912
1978-10-01,2476.949,81.89600000000019,0.034193815335193056,0.13677526134077223
1979-01-01,2526.61,49.66100000000006,0.02004926221734893,0.08019704886939572
1979-04-01,2591.2470000000003,64.63700000000017,0.02558249987136918,0.10232999948547672
1979-07-01,2667.565,76.31799999999976,0.029452228984731876,0.1178089159389275
1979-10-01,2723.883,56.317999999999756,0.02111213784856214,0.08444855139424856
1980-01-01,2789.842,65.95900000000029,0.02421506356917691,0.09686025427670764
1980-04-01,2797.3520000000003,7.510000000000218,0.0026919087174113177,0.01076763486964527
1980-07-01,2856.4829999999997,59.1309999999994,0.02113820498814567,0.08455281995258268
1980-10-01,2985.5570000000002,129.07400000000052,0.045186335784249465,0.18074534313699786
1981-01-01,3124.2059999999997,138.64899999999943,0.046439910542655616,0.18575964217062246
1981-04-01,3162.532,38.32600000000048,0.012267436910370355,0.04906974764148142
1981-07-01,3260.6090000000004,98.07700000000023,0.031012176319480833,0.12404870527792333
1981-10-01,3280.8179999999998,20.208999999999378,0.006197921921947458,0.024791687687789832
1982-01-01,3274.302,-6.515999999999622,-0.0019860900543704485,-0.007944360217481794
1982-04-01,3331.972,57.67000000000007,0.017612914141700964,0.07045165656680386
1982-07-01,3366.322,34.34999999999991,0.01030921028147902,0.04123684112591608
1982-10-01,3402.5609999999997,36.23899999999958,0.010765161502672482,0.04306064601068993
1983-01-01,3473.413,70.85200000000032,0.02082313880632869,0.08329255522531476
1983-04-01,3578.848,105.43499999999995,0.03035486997946979,0.12141947991787916
1983-07-01,3689.179,110.33100000000013,0.030828635359758216,0.12331454143903287
1983-10-01,3794.7059999999997,105.52699999999959,0.028604467281202473,0.11441786912480989
1984-01-01,3908.054,113.34800000000041,0.029870034727328187,0.11948013890931275
1984-04-01,4009.6009999999997,101.54699999999957,0.02598403195042831,0.10393612780171324
1984-07-01,4084.25,74.64900000000034,0.01861756319394381,0.07447025277577524
1984-10-01,4148.5509999999995,64.30099999999948,0.015743649384831748,0.06297459753932699
1985-01-01,4230.168,81.61700000000019,0.019673616161401952,0.07869446464560781
1985-04-01,4294.887,64.71900000000005,0.015299392364558573,0.06119756945823429
1985-07-01,4386.773,91.88600000000042,0.02139427649668102,0.08557710598672408
1985-10-01,4444.094,57.32099999999991,0.013066780524089161,0.052267122096356644
1986-01-01,4507.894,63.80000000000018,0.014356131981006826,0.0574245279240273
1986-04-01,4545.34,37.44599999999991,0.008306761427841813,0.033227045711367253
1986-07-01,4607.669,62.32899999999972,0.013712725560684147,0.05485090224273659
1986-10-01,4657.627,49.95800000000054,0.010842358685053233,0.04336943474021293
1987-01-01,4722.156,64.52899999999954,0.0138544799744591,0.0554179198978364
1987-04-01,4806.16,84.0039999999999,0.017789331822159138,0.07115732728863655
1987-07-01,4884.555,78.39500000000044,0.016311358756262884,0.06524543502505153
1987-10-01,5007.994000000001,123.4390000000003,0.025271288786798518,0.10108515514719407
1988-01-01,5073.372,65.3779999999997,0.01305472810071251,0.05221891240285004
1988-04-01,5190.036,116.66399999999976,0.022995356934204736,0.09198142773681894
1988-07-01,5282.835,92.79899999999998,0.017880222796142542,0.07152089118457017
1988-10-01,5399.509,116.67399999999998,0.022085490082503156,0.08834196033001263
1989-01-01,5511.253000000001,111.7440000000006,0.020695215064925554,0.08278086025970222
1989-04-01,5612.463000000001,101.21000000000004,0.018364244936677654,0.07345697974671062
1989-07-01,5695.365,82.90199999999913,0.014771055060852856,0.05908422024341142
1989-10-01,5747.236999999999,51.87199999999939,0.009107756921637122,0.03643102768654849
1990-01-01,5872.701,125.46400000000085,0.02183031602838037,0.08732126411352148
1990-04-01,5960.028,87.32700000000023,0.014869989124254746,0.05947995649701898
1990-07-01,6015.116,55.08799999999974,0.009242909597068971,0.036971638388275885
1990-10-01,6004.733,-10.38299999999981,-0.0017261512496183906,-0.0069046049984735625
1991-01-01,6035.178000000001,30.44500000000062,0.005070167149813454,0.020280668599253815
1991-04-01,6126.861999999999,91.68399999999838,0.015191598325682953,0.060766393302731814
1991-07-01,6205.937,79.07500000000073,0.01290628057233878,0.05162512228935512
1991-10-01,6264.54,58.603000000000065,0.009443054288176045,0.03777221715270418
1992-01-01,6363.102,98.5619999999999,0.01573331800898381,0.06293327203593524
1992-04-01,6470.763000000001,107.66100000000097,0.016919577903984795,0.06767831161593918
1992-07-01,6566.641,95.87799999999879,0.014817108894267683,0.05926843557707073
1992-10-01,6680.803000000001,114.16200000000117,0.01738514409421832,0.06954057637687328
1993-01-01,6729.459,48.65599999999904,0.0072829568541386,0.0291318274165544
1993-04-01,6808.939,79.48000000000047,0.011810756258415545,0.04724302503366218
1993-07-01,6882.098000000001,73.15900000000056,0.010744552124787754,0.042978208499151016
1993-10-01,7013.738,131.63999999999942,0.01912788803646781,0.07651155214587124
1994-01-01,7115.651999999999,101.91399999999885,0.014530625466762315,0.05812250186704926
1994-04-01,7246.931,131.27900000000045,0.018449328325780945,0.07379731330312378
1994-07-01,7331.075,84.14400000000023,0.011610984015164583,0.04644393606065833
1994-10-01,7455.2880000000005,124.21300000000065,0.016943354146561118,0.06777341658624447
1995-01-01,7522.289000000001,67.0010000000002,0.008987043827146657,0.03594817530858663
1995-04-01,7580.996999999999,58.70799999999872,0.007804539283188694,0.031218157132754776
1995-07-01,7683.125,102.12800000000061,0.01347157900207585,0.0538863160083034
1995-10-01,7772.585999999999,89.46099999999933,0.01164382982184975,0.046575319287399
1996-01-01,7868.468000000001,95.88200000000143,0.012335920117191534,0.04934368046876614
1996-04-01,8032.84,164.3719999999994,0.020889962315408628,0.08355984926163451
1996-07-01,8131.408,98.56800000000021,0.012270629067677286,0.04908251627070914
1996-10-01,8259.771,128.36300000000028,0.0157860729654693,0.0631442918618772
1997-01-01,8362.655,102.88400000000001,0.012456035403402899,0.049824141613611594
1997-04-01,8518.825,156.17000000000007,0.01867469123143306,0.07469876492573224
1997-07-01,8662.823,143.9979999999996,0.016903504884769882,0.06761401953907953
1997-10-01,8765.907,103.08399999999892,0.011899585158325232,0.04759834063330093
1998-01-01,8866.48,100.57300000000032,0.011473199521738087,0.04589279808695235
1998-04-01,8969.699,103.21900000000096,0.011641485685413011,0.046565942741652044
1998-07-01,9121.097,151.39799999999923,0.016878827260535578,0.06751530904214231
1998-10-01,9293.991,172.89400000000023,0.018955395387199703,0.07582158154879881
1999-01-01,9417.264000000001,123.27300000000105,0.013263731372238352,0.05305492548895341
1999-04-01,9524.152,106.88799999999901,0.011350218067583073,0.04540087227033229
1999-07-01,9681.856,157.70399999999972,0.016558324562648608,0.06623329825059443
1999-10-01,9899.378,217.52200000000084,0.02246697327454572,0.08986789309818288
2000-01-01,10002.857,103.47899999999936,0.010453080991553065,0.04181232396621226
2000-04-01,10247.679,244.82200000000012,0.02447520743323639,0.09790082973294556
2000-07-01,10319.825,72.14600000000064,0.007040228328775822,0.028160913315103286
2000-10-01,10439.025,119.19999999999891,0.011550583464351227,0.04620233385740491
2001-01-01,10472.879,33.85400000000118,0.0032430231750570915,0.012972092700228366
2001-04-01,10597.822,124.9429999999993,0.011930148338389124,0.047720593353556495
2001-07-01,10596.294,-1.5280000000002474,-0.0001441805684224695,-0.000576722273689878
